Gene,Pattern_1 x Pattern_4,KW.obs.tot,KW.obs.groups,KW.df,KW.statistic,KW.pvalue,KW.p.adj,Dunn.zP1_Int,Dunn.zP2_Int,Dunn.zP2_P1,Dunn.pval_1_Int,Dunn.pval_2_Int,Dunn.pval_2_1,Dunn.pval_1_Int.adj,Dunn.pval_2_Int.adj,Dunn.pval_2_1.adj
AC125611.4,vsBoth,2209,3,2,55.051138853968,1.11121241938124e-12,1.99096137638502e-12,-5.57753012993441,-2.1635602029004,6.4196696856046,2.4395753969873e-08,0.0304981186325136,1.36570351210629e-10,9.98344146618357e-08,0.0732299922876061,5.98697372083122e-10
ANXA2,vsBoth,2209,3,2,53.0560409804193,3.01319393970606e-12,5.34320909120913e-12,-5.4954897187741,-7.18954442439502,-2.77251124144424,3.89627644571251e-08,6.50078663949607e-13,0.00556255981014794,1.5823592934676e-07,3.02513981819501e-12,0.0153161796639596
ALB,vsBoth,2209,3,2,49.6911804295687,1.62067999009946e-11,2.82198224768653e-11,-2.63934249147207,-5.68657625857435,-5.34930416775151,0.00830670135482621,1.2961152316344e-08,8.82930419424458e-08,0.0221327176051714,5.35571398217776e-08,3.53502680017827e-07
COL1A1,vsBoth,2209,3,2,49.5697982460115,1.72208695273106e-11,2.99609499128224e-11,-4.73802868288696,-6.77061936645699,-3.41931379347149,2.15807272272793e-06,1.28232234815982e-11,0.000627792836748685,8.17289236357511e-06,5.79385219118713e-11,0.00198235151887377
FOS,vsBoth,2209,3,2,48.6636920033297,2.70902833132166e-11,4.68932383941654e-11,-3.89397369356463,-6.35878073093866,-4.23895246374582,9.86153488407862e-05,2.03361450903672e-10,2.2456519900976e-05,0.000337045543893881,8.87277773633563e-10,8.02653235706721e-05
ZFP36L1,vsBoth,2209,3,2,47.8027053706264,4.1665290938593e-11,7.1660379929509e-11,-2.31743290584471,-5.40112716257516,-5.43097737180442,0.0204801615741754,6.62234590014313e-08,5.60462416187762e-08,0.0506913857569079,2.66415737492735e-07,2.26206861078409e-07
INSC,vsBoth,2209,3,2,47.3956966488986,5.10687513956258e-11,8.7620224618988e-11,-5.38461843452839,-2.31741361175502,5.78628237450885,7.25984889444806e-08,0.0204812115657948,7.19612096407013e-09,2.91516893810852e-07,0.050691638455851,2.99855194730047e-08
S100A10,vsBoth,2209,3,2,47.3506450135128,5.22321710751133e-11,8.96018384551478e-11,-5.93315411658192,-6.879258912449,-1.40525782992679,2.97169659289679e-09,6.01647246496072e-12,0.159944623245198,1.25311772902487e-08,2.73992092720063e-11,0.338699554997494
COL1A2,vsBoth,2209,3,2,46.8129744113012,6.83426423208765e-11,1.16888686386186e-10,-5.933287410002,-6.83816131935111,-1.33108694051978,2.96928396206898e-09,8.0216040039096e-12,0.183160405560548,1.25219909883704e-08,3.64375553317827e-11,0.382933350348605
COL3A1,vsBoth,2209,3,2,46.5993983248791,7.60447477716763e-11,1.29810545608474e-10,-2.70514007306147,-5.60084298642049,-5.07344871223378,0.00682755929012678,2.13311888774938e-08,3.90669804959986e-07,0.0184976045249202,8.74070430457906e-08,1.52698727011037e-06
LGALS1,vsBoth,2209,3,2,45.3326714825344,1.43263468864435e-10,2.42698572254123e-10,-5.89181548783155,-3.29162118922148,4.97159609134888,3.81975550989809e-09,0.000996116877774948,6.6403937561176e-07,1.60516175670541e-08,0.00307051348144842,2.57013083368066e-06
AC006483.2,vsBoth,2209,3,2,44.5985803249087,2.06795618128125e-10,3.48960405186681e-10,-5.65468883197856,-2.93509482477643,5.17451469843537,1.56128864815545e-08,0.0033344577104858,2.28504122540622e-07,6.42958527075752e-08,0.00953379648424719,9.0157469862973e-07
TFF3,vsBoth,2209,3,2,41.8087101046049,8.3436091756888e-10,1.38253786614668e-09,-5.78679196520859,-6.43842769736758,-0.882895889300321,7.17433379543691e-09,1.2071744032031e-10,0.377292524820549,2.99017241612014e-08,5.3002686974134e-10,0.739349565494809
ERCC6L,vsBoth,2209,3,2,41.0167069092749,1.2397532678884e-09,2.04405043071833e-09,-5.42699924633522,-2.8217533451159,4.95745014586303,5.73093702342477e-08,0.00477618961024702,7.14243616508288e-07,2.31200249048514e-07,0.0132941793565185,2.75984971991548e-06
LDHA,vsBoth,2209,3,2,40.7455358579091,1.4197742895981e-09,2.33650064128752e-09,-5.55082571562092,-3.05808562977721,4.76126896548492,2.84323434170063e-08,0.00222755913357968,1.92379448927875e-06,1.16042498760182e-07,0.00655724155587462,7.30323572780926e-06
ADIRF,vsBoth,2209,3,2,39.9856530283932,2.07599243807197e-09,3.39744270333745e-09,-2.83798684326672,-5.38891188686737,-4.44663812425849,0.00453990539200609,7.08855468305631e-08,8.72245907354816e-06,0.0126886725490593,2.84831112285285e-07,3.20282660213684e-05
HS3ST6,vsBoth,2209,3,2,38.5963990614537,4.15813354373135e-09,6.75593145806404e-09,-4.83270390718285,-2.05143714795552,5.24436420374813,1.34691039529389e-06,0.0402243945456001,1.56822156324968e-07,5.14647571588502e-06,0.0946795850136268,6.22700866939905e-07
DND1,vsBoth,2209,3,2,38.3056147920879,4.80885226309009e-09,7.7988446178904e-09,-5.56137382416251,-3.29660487321647,4.35173216434702,2.67659162567368e-08,0.00097861071170986,1.35066197427801e-05,1.09333002564755e-07,0.00301843068621584,4.8969966820637e-05
SERPINA3,vsBoth,2209,3,2,37.8478094263237,6.04578372289386e-09,9.77346388201575e-09,-4.32777829847695,-5.98188079814673,-2.75901182740562,1.50620967065169e-05,2.20575675321968e-09,0.00579764366094734,5.44655357137812e-05,9.33962467527176e-09,0.0159177732672832
NPAS1,vsBoth,2209,3,2,37.7216886526985,6.43931076678179e-09,1.03961551959243e-08,-5.74249178011876,-3.73374230550256,3.90026874897377,9.32934090472667e-09,0.000188655522394362,9.60859670663633e-05,3.87416130535e-08,0.000629220408295229,0.000328631705472945
SEMA3C,vsBoth,2209,3,2,35.9884112885256,1.53184838296761e-08,2.44208881684679e-08,-2.72762638721574,-5.13301194506832,-4.19036443219474,0.00637918146135494,2.85141802418562e-07,2.7850677568865e-05,0.0173796864939803,1.12107140933244e-06,9.90555024626073e-05
C19orf33,vsBoth,2209,3,2,35.203330862375,2.26826520571232e-08,3.59474005207552e-08,-4.78131006973086,-2.2136294799437,4.85760642404482,1.7415649743415e-06,0.0268542776577094,1.18813279992359e-06,6.61896181492677e-06,0.0651534824688767,4.54922072558986e-06
