Gene,Pattern_1 x Pattern_4,KW.obs.tot,KW.obs.groups,KW.df,KW.statistic,KW.pvalue,KW.p.adj,Dunn.zP1_Int,Dunn.zP2_Int,Dunn.zP2_P1,Dunn.pval_1_Int,Dunn.pval_2_Int,Dunn.pval_2_1,Dunn.pval_1_Int.adj,Dunn.pval_2_Int.adj,Dunn.pval_2_1.adj
ISG15,vsBoth,2207,3,2,50.6259602907733,1.01557593736904e-11,8.66323279367029e-11,-5.49123979710318,-2.28203418269203,6.04484754231128,3.99122011108866e-08,0.0224873222150444,1.49551350050519e-09,2.61290781620996e-07,0.0433706790346734,1.17583825060313e-08
AP000851.2,vsBoth,2207,3,2,50.5996172741758,1.02904108775581e-11,8.77099341384095e-11,-6.40183336921578,-7.07488526663379,-0.887579164499708,1.53522167617223e-10,1.49572459516606e-12,0.374767165382726,1.36822510728888e-09,1.61257807916341e-11,0.552598237936887
NDUFA5,vsBoth,2207,3,2,50.4809627580534,1.09193859483743e-11,9.29581664372715e-11,-6.02425825388785,-3.13438444277312,5.497684474009,1.69886918242898e-09,0.00172215068694922,3.84810671018007e-08,1.32373113030895e-08,0.00450807065735359,2.52325476633859e-07
RPL22,vsBoth,2207,3,2,50.3456875200084,1.16834972646401e-11,9.92626158733737e-11,-4.79161248283588,-6.83019521162452,-3.42313076887563,1.65446222264665e-06,8.47991607858144e-12,0.000619042888323656,8.46898922872483e-06,8.55912572824038e-11,0.00185751787772691
YWHAB,vsBoth,2207,3,2,50.3047484730577,1.19251173738843e-11,1.01152263714872e-10,-5.42076660787573,-2.19620431941942,6.0689037434268,5.93439960968404e-08,0.028077322355255,1.28786301377326e-09,3.78719707651666e-07,0.0531496083587445,1.01872810495573e-08
FAT2,vsBoth,2207,3,2,49.7632414194122,1.56332554707467e-11,1.31546602543384e-10,-6.63784810921688,-6.89965048789969,-0.136489707426097,3.18295599335435e-11,5.21306383635387e-12,0.891434160690537,3.0421877459847e-10,5.36964327172637e-11,1
LAMC2,vsBoth,2207,3,2,49.1159909011973,2.16071799668867e-11,1.79874864441842e-10,-5.03350081219368,-6.84775869042682,-3.00773798211934,4.81602775022916e-07,7.50159608892696e-12,0.00263199957278347,2.70193876621889e-06,7.60652280476003e-11,0.00652983085831353
ZNRF1,vsBoth,2207,3,2,49.0431412713722,2.24087269785063e-11,1.8603304863559e-10,-5.5006637013218,-2.39037159804935,5.86752736264864,3.78364274695622e-08,0.0168313334149532,4.4234202624599e-09,2.48269042298559e-07,0.0334164343296946,3.28487134895071e-08
MYLK,vsBoth,2207,3,2,48.8990637900871,2.4082591158103e-11,1.99614553777038e-10,-2.53395441572821,-5.58844399512437,-5.36282876746324,0.0112783402189507,2.29113242382134e-08,8.19286643686375e-08,0.0232375357727481,1.54732492821047e-07,5.10338765324328e-07
RPL5,vsBoth,2207,3,2,48.8312599337177,2.49130347159495e-11,2.06416689526172e-10,-3.78120239728758,-6.31058564332859,-4.35618764359747,0.000156072719125477,2.77981530784225e-10,1.32347330887193e-05,0.000542503315386992,2.39326552435546e-09,5.7290488585862e-05
EEF2,vsBoth,2207,3,2,48.2794549918446,3.2828387708809e-11,2.70193019150237e-10,-2.03208033347344,-5.22887958471655,-5.64388686638033,0.0421455239911769,1.70540390916585e-07,1.66253343338948e-08,0.0767854602969619,1.02142315287522e-06,1.1449409539468e-07
CAV2,vsBoth,2207,3,2,48.1340196333562,3.5304530527192e-11,2.90232718770166e-10,-2.91553561735236,-5.79572642870784,-5.03032561872783,0.00355078575065417,6.8026077058193e-09,4.89647548976388e-07,0.00847800800216644,4.92647121032209e-08,2.74009332908714e-06
NDUFC1,vsBoth,2207,3,2,47.8456297650877,4.07805900190293e-11,3.33817805633624e-10,-5.20513970949613,-2.02264780576975,5.9824304642318,1.93850708164962e-07,0.0431094716823572,2.1983236931949e-09,1.15283801210876e-06,0.0783870790973011,1.69172262710658e-08
OPTN,vsBoth,2207,3,2,47.8236859270684,4.12304949969735e-11,3.36976931569524e-10,-4.60026494987698,-6.63083318359042,-3.41835574234243,4.21953904333516e-06,3.33797303698936e-11,0.000630007044395939,2.01109355036455e-05,3.18223463972004e-10,0.00188567489456232
SEC62,vsBoth,2207,3,2,47.7869051866015,4.19957541970858e-11,3.42687558037052e-10,-5.34053665234956,-2.22530550470534,5.86834572156477,9.26718382283933e-08,0.0260607361672678,4.40164702621679e-09,5.73391980914011e-07,0.0496143328335691,3.26955026188633e-08
RNASEK,vsBoth,2207,3,2,47.5041196309378,4.83739429747295e-11,3.9231677385587e-10,-5.52829868885865,-2.52885317587784,5.66967437175307,3.23351186647482e-08,0.0114435887880182,1.43069174878766e-08,2.14382061348707e-07,0.0235356722649501,9.93641965232471e-08
CCL4L2,vsBoth,2207,3,2,46.9882858161919,6.26070698000680e-11,5.03869732882901e-10,-1.96264946940105,-5.12943367783014,-5.5934301614528,0.0496869183446714,2.90615134681136e-07,2.22626799552765e-08,0.0892307875070345,1.68422675199238e-06,1.50742927528811e-07
PPIB,vsBoth,2207,3,2,46.6661530254705,7.35484669505066e-11,5.87439802368148e-10,-2.72927318517032,-5.61995496361355,-5.05855774472103,0.00634740968672122,1.91007243350191e-08,4.22439331268892e-07,0.013958841592755,1.30567973581588e-07,2.38731996267707e-06
CCL3,vsBoth,2207,3,2,46.5629790714556,7.74421789779325e-11,6.16290773638407e-10,-2.37013724884394,-5.38668488770585,-5.30287427851123,0.0177814831350187,7.17690983094133e-08,1.13993430871079e-07,0.0350766581407592,4.51970118779426e-07,6.96883410118138e-07
MALAT1,vsBoth,2207,3,2,46.3927083215,8.43240365275186e-11,6.67433301891366e-10,-2.13203525458486,-5.22126785501735,-5.44550768144756,0.0330039484599641,1.77702291916479e-07,5.16578338742939e-08,0.0615278687598355,1.06187502692579e-06,3.33308263404778e-07
