Gene,Pattern_6 x Pattern_7,KW.obs.tot,KW.obs.groups,KW.df,KW.statistic,KW.pvalue,KW.p.adj,Dunn.zP1_Int,Dunn.zP2_Int,Dunn.zP2_P1,Dunn.pval_1_Int,Dunn.pval_2_Int,Dunn.pval_2_1,Dunn.pval_1_Int.adj,Dunn.pval_2_Int.adj,Dunn.pval_2_1.adj
ZNF711,vsBoth,431,3,2,13.7050752792609,0.00105677058451425,0.0193921928491609,-2.59502449593449,-3.57893270602494,0,0.0094584177670224,0.000345000281248797,1,0.0194463062146337,0.00156002266295739,1
AGPAT2,vsBoth,431,3,2,13.6782406547493,0.00107104515446381,0.0196305831196426,-2.10640689535991,-3.68416486676517,-0.628654068512947,0.035169022851363,0.000229453697505583,0.529575554564682,0.0606716271378215,0.00116255848306855,0.646013176496656
IFNGR1,vsBoth,431,3,2,13.6183885103323,0.00110358174710908,0.0201213594746914,-2.13141626162354,-3.67274817736411,-0.591611156111576,0.0330548643599455,0.000239955921611887,0.55411100161235,0.0572882994344755,0.00120218719255721,0.669761926101641
POLR2E,vsBoth,431,3,2,13.6077449269078,0.00110947043459074,0.02020763303545,-3.13874090744044,-3.23819806203143,0.87999313441129,0.00169675399111842,0.00120287270285889,0.378863028845913,0.00461016471347412,0.00354472782075268,0.487993823913308
ZNF672,vsBoth,431,3,2,13.6036603348449,0.0011117386170179,0.0202278525244288,-3.03279688614319,-3.3255472959526,0.691615483245791,0.002422986260199,0.000882451271965345,0.489178835645632,0.00616934858545853,0.00290743109692981,0.604944878203487
EXOC3,vsBoth,431,3,2,13.5925892590652,0.00111790975277584,0.020318969460703,-2.45385403059106,-3.60572985106985,-0.178719632137725,0.0141334339434205,0.000311276831612198,0.858157853153044,0.0274840554486075,0.00145413521961041,0.947790954059911
HNRNPC,vsPattern_7,431,3,2,13.5852986696272,0.00112199229981675,0.0203719745331592,-1.6174211970647,-3.67830993324932,-1.16808298371661,0.105787393233896,0.000234784554959427,0.242773293448133,0.161319492769978,0.00118154735720903,0.333136849085774
FNDC3B,vsBoth,431,3,2,13.5608181431091,0.0011358101756396,0.0205675912176379,-2.15873312207536,-3.66095653449545,-0.551697872209241,0.0308708775744464,0.00025127538851099,0.581155368030621,0.053960997207142,0.00124501829764982,0.696270920802348
PLAU,vsPattern_7,431,3,2,13.5599584959655,0.00113629847856075,0.0205675912176379,-0.850587475295544,-3.53378278377625,-1.90481393826875,0.394998549293449,0.000409657600407855,0.0568042614073796,0.505877309924411,0.00174443807633417,0.0931332910488012
HMG20B,vsBoth,431,3,2,13.5632539455402,0.00113442771306839,0.0205675912176379,-3.32315155262805,-3.02492864178962,1.25729344909155,0.000890065436982421,0.0024869179487337,0.208647395243601,0.00292608198522238,0.00629417428102043,0.292653368984002
